"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snrnp401",6.37373975714662e-49,0.393068101575432,0.505,0.091,1.07556858401849e-44,"Stem IR","Snrnp40"
"Rpl27-ps3",8.91339546722334e-49,0.266206408081597,0.349,0.044,1.50413548509394e-44,"Stem IR","Rpl27-ps3"
"Rpl383",9.27170864343219e-49,0.787610202232581,0.991,0.831,1.56460083357918e-44,"Stem IR","Rpl38"
"Lad13",9.65184683559854e-49,0.489808578138602,0.569,0.119,1.62874915350725e-44,"Stem IR","Lad1"
"Mrpl503",1.18885929186645e-48,0.459059199814471,0.56,0.113,2.00620005502464e-44,"Stem IR","Mrpl50"
"Dnaja22",1.24989687054893e-48,0.624438755302833,0.835,0.281,2.10920096905133e-44,"Stem IR","Dnaja2"
"Gdf151",1.37699738485764e-48,0.960687782865791,0.56,0.117,2.32368308694726e-44,"Stem IR","Gdf15"
"Fam83h",1.41914249134086e-48,0.324639440917157,0.44,0.07,2.3948029541377e-44,"Stem IR","Fam83h"
"Polr1d2",1.43530862275481e-48,0.91477983028095,0.899,0.417,2.42208330089875e-44,"Stem IR","Polr1d"
"Rpp14",1.46734277400279e-48,0.310365489311376,0.422,0.064,2.4761409311297e-44,"Stem IR","Rpp14"
"Nfu13",1.62567278408608e-48,0.486683732657449,0.624,0.14,2.74332282314525e-44,"Stem IR","Nfu1"
"Eif3f2",1.92239315692958e-48,0.89729870725787,0.917,0.458,3.24403845231866e-44,"Stem IR","Eif3f"
"Phf5a3",2.04204948163422e-48,0.615368119061038,0.752,0.209,3.44595850025774e-44,"Stem IR","Phf5a"
"Samm503",2.13055914331383e-48,0.589087541759354,0.752,0.216,3.59531855434209e-44,"Stem IR","Samm50"
"Fbxw9",2.15547008493053e-48,0.465309478295071,0.587,0.122,3.63735576832028e-44,"Stem IR","Fbxw9"
"Map2k33",2.20114049943978e-48,0.522117335781608,0.706,0.183,3.71442459280463e-44,"Stem IR","Map2k3"
"Wdr83os2",2.54634785182611e-48,0.424319447515038,0.679,0.157,4.29696199995656e-44,"Stem IR","Wdr83os"
"Rfc41",2.68789244549875e-48,0.312779422143265,0.33,0.04,4.53581850177915e-44,"Stem IR","Rfc4"
"Thop1",2.76722345511827e-48,0.391273506768465,0.495,0.089,4.66968958051209e-44,"Stem IR","Thop1"
"Eif3k2",2.86580214674651e-48,0.855113555826724,0.899,0.417,4.83604112263473e-44,"Stem IR","Eif3k"
"Hnrnpa11",3.09981668167579e-48,0.809820665757667,0.835,0.291,5.2309406503279e-44,"Stem IR","Hnrnpa1"
"Fam96a3",3.56851851667241e-48,0.56824515756186,0.752,0.209,6.02187499688469e-44,"Stem IR","Fam96a"
"Rps19bp11",3.62378716373351e-48,0.464662839802828,0.661,0.155,6.1151408388003e-44,"Stem IR","Rps19bp1"
"Strap1",3.75931162930867e-48,0.632717305948791,0.679,0.181,6.34383837445839e-44,"Stem IR","Strap"
"Pum31",4.43926495008452e-48,0.37667240371949,0.523,0.098,7.49125960326763e-44,"Stem IR","Pum3"
"Ube2i1",4.94279359302369e-48,0.776913011550186,0.78,0.271,8.34096418822748e-44,"Stem IR","Ube2i"
"5730559C18Rik",5.1149830863032e-48,0.282348538876149,0.303,0.035,8.63153395813665e-44,"Stem IR","5730559C18Rik"
"Ddx211",7.73663335032964e-48,0.582997857634683,0.661,0.168,1.30555687786813e-43,"Stem IR","Ddx21"
"Pbk1",8.44661949147582e-48,0.256689648694489,0.211,0.017,1.42536703918655e-43,"Stem IR","Pbk"
"Nectin23",9.2076513858883e-48,0.635990659073795,0.661,0.167,1.55379117136865e-43,"Stem IR","Nectin2"
"Kctd10",9.22387512340694e-48,0.364772197893361,0.459,0.078,1.55652892707492e-43,"Stem IR","Kctd10"
"Kcnk1",1.10816970041664e-47,0.649077224041558,0.78,0.24,1.87003636945309e-43,"Stem IR","Kcnk1"
"Rnf43",1.30668857076825e-47,0.290090218370513,0.376,0.052,2.20503696317143e-43,"Stem IR","Rnf43"
"Serpinb6a2",1.5530920690091e-47,1.10133858072836,0.89,0.36,2.62084286645286e-43,"Stem IR","Serpinb6a"
"Mrpl203",1.77050242406402e-47,0.75345780649524,0.853,0.316,2.98772284060804e-43,"Stem IR","Mrpl20"
"Cct71",1.8599133814267e-47,0.784373123888392,0.899,0.396,3.13860383115755e-43,"Stem IR","Cct7"
"Ppp5c3",2.54522382141831e-47,0.444548665030149,0.615,0.137,4.29506519864339e-43,"Stem IR","Ppp5c"
"Mrpl343",2.74548789868384e-47,0.63470131228232,0.835,0.279,4.63301082902897e-43,"Stem IR","Mrpl34"
"Eno11",3.73516199013487e-47,0.463646812815731,0.596,0.132,6.3030858583526e-43,"Stem IR","Eno1"
"Emc81",4.60475281738798e-47,0.420024515868312,0.587,0.125,7.77052037934222e-43,"Stem IR","Emc8"
"Mrpl391",5.1786929399874e-47,0.298185904993489,0.413,0.063,8.73904433622874e-43,"Stem IR","Mrpl39"
"Gusb",5.9824244469227e-47,0.497568691326002,0.56,0.118,1.00953412541821e-42,"Stem IR","Gusb"
"Net12",6.12344153164196e-47,0.457329188663542,0.651,0.152,1.03333075846458e-42,"Stem IR","Net1"
"Rps294",7.91544639045697e-47,0.795551089892826,1,0.907,1.33573157838961e-42,"Stem IR","Rps29"
"Etf11",8.19790809402188e-47,0.620871074157911,0.716,0.206,1.38339699086619e-42,"Stem IR","Etf1"
"Ngdn1",8.31893053366734e-47,0.419969565076732,0.514,0.098,1.40381952755636e-42,"Stem IR","Ngdn"
"Ndufc23",9.57483531437121e-47,0.832528244203175,0.917,0.39,1.61575345930014e-42,"Stem IR","Ndufc2"
"Nop561",9.74376549655305e-47,0.719749655900867,0.716,0.202,1.64426042754333e-42,"Stem IR","Nop56"
"Psmc61",1.02852413775068e-46,0.60694666433434,0.771,0.234,1.73563448245428e-42,"Stem IR","Psmc6"
"Trap13",1.13245554356016e-46,0.438647168010969,0.532,0.105,1.91101872975777e-42,"Stem IR","Trap1"
"U2af12",1.43098117245118e-46,0.700023352663455,0.771,0.249,2.41478072851136e-42,"Stem IR","U2af1"
"Rbp72",1.46292698602263e-46,0.395406755957733,0.284,0.031,2.46868928891319e-42,"Stem IR","Rbp7"
"Psma12",1.49379160460797e-46,0.674884149179155,0.817,0.279,2.52077333277595e-42,"Stem IR","Psma1"
"Abcf2",1.67638881664048e-46,0.33823402409354,0.44,0.073,2.82890612808081e-42,"Stem IR","Abcf2"
"Psme3",1.83117762448726e-46,0.341063058137036,0.523,0.099,3.09011224132225e-42,"Stem IR","Psme3"
"Ift432",2.07379442515957e-46,0.334410573441333,0.431,0.07,3.49952809245678e-42,"Stem IR","Ift43"
"Aasdhppt1",2.19221119998648e-46,0.384371886158983,0.459,0.08,3.69935639997719e-42,"Stem IR","Aasdhppt"
"Rpl213",3.60934980043194e-46,0.953727743303074,0.991,0.932,6.0907777882289e-42,"Stem IR","Rpl21"
"Ap1m2",3.61392039697922e-46,0.407710467957072,0.661,0.155,6.09849066990243e-42,"Stem IR","Ap1m2"
"Srsf71",4.12420676707967e-46,0.646780031897645,0.817,0.258,6.95959891944694e-42,"Stem IR","Srsf7"
"Ifitm22",4.38612765919021e-46,0.744566415716759,0.697,0.193,7.40159042488349e-42,"Stem IR","Ifitm2"
"Gadd45gip12",5.08992336207549e-46,0.589659987411098,0.789,0.248,8.58924567350239e-42,"Stem IR","Gadd45gip1"
"Nectin33",5.55288549842148e-46,0.463203304658999,0.578,0.125,9.37049427858625e-42,"Stem IR","Nectin3"
"Psmc43",6.37345117177563e-46,0.556764969821231,0.789,0.244,1.07551988523714e-41,"Stem IR","Psmc4"
"Sae11",7.19209700753338e-46,0.455606040620859,0.55,0.114,1.21366637002126e-41,"Stem IR","Sae1"
"Prdx17",7.66654746981864e-46,0.932760048065902,0.991,0.752,1.29372988553189e-41,"Stem IR","Prdx1"
"Ndufaf42",7.82832129827521e-46,0.3909763134945,0.523,0.101,1.32102921908394e-41,"Stem IR","Ndufaf4"
"Pinx1",8.68396392312531e-46,0.250983495482054,0.349,0.047,1.4654189120274e-41,"Stem IR","Pinx1"
"Sri6",9.22254932889342e-46,0.867228808340315,0.936,0.494,1.55630519925076e-41,"Stem IR","Sri"
"Eif1a1",9.33940954198813e-46,0.530531412391639,0.688,0.18,1.5760253602105e-41,"Stem IR","Eif1a"
"Set1",9.98319373772177e-46,1.00396390542347,0.89,0.436,1.68466394324055e-41,"Stem IR","Set"
"Hnrnpab1",1.06830397541368e-45,0.772881172146922,0.899,0.404,1.80276295851058e-41,"Stem IR","Hnrnpab"
"Dsc22",1.16704856545888e-45,0.397875271523466,0.495,0.093,1.96939445421187e-41,"Stem IR","Dsc2"
"Mecr2",1.24758487698285e-45,0.35345049171479,0.45,0.077,2.10529947990857e-41,"Stem IR","Mecr"
"Lmna3",1.60917498587861e-45,0.960345770937265,0.936,0.467,2.71548278867015e-41,"Stem IR","Lmna"
"Actg13",1.76519299237693e-45,0.848635252794286,1,0.983,2.97876317463606e-41,"Stem IR","Actg1"
"Pabpc11",1.8318455441338e-45,0.872145347726591,0.972,0.682,3.0912393557258e-41,"Stem IR","Pabpc1"
"Ccdc86",2.21086741353419e-45,0.509306390841286,0.661,0.166,3.73083876033895e-41,"Stem IR","Ccdc86"
"Cenpw1",2.22808782208112e-45,0.324142486554273,0.275,0.03,3.75989819976189e-41,"Stem IR","Cenpw"
"Ndufa83",2.66192926727221e-45,0.732562786436647,0.89,0.362,4.49200563852185e-41,"Stem IR","Ndufa8"
"Rnh13",2.87823148528768e-45,0.788616923479577,0.807,0.287,4.85701563142296e-41,"Stem IR","Rnh1"
"Fundc21",3.23113440850227e-45,0.440660655252141,0.587,0.131,5.45253931434759e-41,"Stem IR","Fundc2"
"Gnl31",3.45024042221322e-45,0.561990435605847,0.596,0.139,5.82228071248482e-41,"Stem IR","Gnl3"
"Rrm11",4.20446775525619e-45,0.353609627279272,0.339,0.046,7.09503933699482e-41,"Stem IR","Rrm1"
"Gtf3c61",5.3189959111825e-45,0.469900739163621,0.624,0.146,8.97580560012047e-41,"Stem IR","Gtf3c6"
"Tmem14c3",6.20592065519845e-45,0.698660327306816,0.826,0.284,1.04724911056474e-40,"Stem IR","Tmem14c"
"Cox4i14",6.77079118062556e-45,0.790736748853922,1,0.926,1.14257101173056e-40,"Stem IR","Cox4i1"
"Lamtor53",7.43775251962273e-45,0.506084846821932,0.697,0.188,1.25512073768634e-40,"Stem IR","Lamtor5"
"Pmpcb3",7.92069160897982e-45,0.445423248340278,0.606,0.139,1.33661670901534e-40,"Stem IR","Pmpcb"
"Mrps102",8.65820697338178e-45,0.418301145957302,0.541,0.113,1.46107242675818e-40,"Stem IR","Mrps10"
"Hmgn12",9.0433871299294e-45,0.892798709916599,0.826,0.32,1.52607157817559e-40,"Stem IR","Hmgn1"
"Nr2c2ap1",9.65737602688161e-45,0.376507194678049,0.55,0.114,1.62968220453627e-40,"Stem IR","Nr2c2ap"
"Mtx12",1.01454071576018e-44,0.379115727645953,0.523,0.104,1.7120374578453e-40,"Stem IR","Mtx1"
"Rps283",1.09246385518681e-44,0.862797458992028,0.963,0.777,1.84353275562774e-40,"Stem IR","Rps28"
"AA986860",1.29073152704075e-44,0.343822955937473,0.404,0.064,2.17810945188127e-40,"Stem IR","AA986860"
"Bud232",1.4000849785848e-44,0.47844163230946,0.569,0.129,2.36264340136185e-40,"Stem IR","Bud23"
"Coro2a3",1.56528325795455e-44,0.406882861753141,0.459,0.082,2.64141549779831e-40,"Stem IR","Coro2a"
"Tmed51",1.7055046539897e-44,0.450188350322621,0.541,0.115,2.87803910360761e-40,"Stem IR","Tmed5"
"Tipin1",1.78734188513592e-44,0.321678644031122,0.349,0.049,3.01613943116687e-40,"Stem IR","Tipin"
"Far22",1.85770394581428e-44,0.251503302914302,0.294,0.035,3.1348754085616e-40,"Stem IR","Far2"
"Zfp36l22",1.90333671901077e-44,0.590643731040125,0.67,0.177,3.21188071333068e-40,"Stem IR","Zfp36l2"
"Sft2d22",1.95218825325069e-44,0.434186218451457,0.596,0.134,3.29431767736054e-40,"Stem IR","Sft2d2"
"Aifm13",2.02948611280001e-44,0.372361666064338,0.486,0.091,3.42475781535002e-40,"Stem IR","Aifm1"
"Ppp1r14d3",3.06237167012581e-44,0.593306443899979,0.679,0.185,5.16775219333731e-40,"Stem IR","Ppp1r14d"
"Pole41",3.14306852326699e-44,0.291197627015702,0.404,0.064,5.30392813301305e-40,"Stem IR","Pole4"
"Prmt11",3.95281246146079e-44,0.680428757404618,0.716,0.216,6.67037102871509e-40,"Stem IR","Prmt1"
"Mrpl322",4.82217461308792e-44,0.550212980254656,0.679,0.186,8.13741965958586e-40,"Stem IR","Mrpl32"
