"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tph1",0,1.60365781613374,0.993,0.459,0,"EE-EC H","Tph1"
"Stxbp5l",0,1.53807446058368,0.895,0.208,0,"EE-EC H","Stxbp5l"
"Trpm2",0,0.901423052150574,0.854,0.172,0,"EE-EC H","Trpm2"
"Slc38a11",0,0.823934203909228,0.767,0.118,0,"EE-EC H","Slc38a11"
"Cartpt",1.66745328277973e-299,1.3583656890927,0.652,0.119,2.8138274146908e-295,"EE-EC H","Cartpt"
"Hbegf",8.81688520034177e-294,1.08991087642956,0.805,0.219,1.48784937755767e-289,"EE-EC H","Hbegf"
"Ssfa2",4.96773022220121e-290,0.817215195385427,0.759,0.181,8.38304474996455e-286,"EE-EC H","Ssfa2"
"Rasal2",1.41743990474325e-289,0.703206861690962,0.717,0.147,2.39192983925423e-285,"EE-EC H","Rasal2"
"Snap25",3.35411140192363e-288,1.00235969037032,0.871,0.283,5.66006299074613e-284,"EE-EC H","Snap25"
"Slc20a1",3.29044069180051e-284,0.888861539338331,0.611,0.113,5.55261866741337e-280,"EE-EC H","Slc20a1"
"Serpina1c",2.00491454010386e-276,1.22611480425477,0.757,0.185,3.38329328642527e-272,"EE-EC H","Serpina1c"
"Chga",5.15556772078502e-264,1.3630206191907,0.999,0.696,8.70002052882472e-260,"EE-EC H","Chga"
"Scn3a",5.24361866485617e-254,0.769851598295253,0.821,0.24,8.84860649694479e-250,"EE-EC H","Scn3a"
"Ddhd1",1.14315520766087e-253,0.649083358539841,0.662,0.15,1.92907441292771e-249,"EE-EC H","Ddhd1"
"Nt5e",1.67818006528249e-251,0.755079781722251,0.769,0.2,2.8319288601642e-247,"EE-EC H","Nt5e"
"Syn2",6.7816091376718e-251,0.623999639582593,0.669,0.15,1.14439654198212e-246,"EE-EC H","Syn2"
"Kcnc1",2.73897158157372e-241,0.649554026846311,0.694,0.163,4.62201454390566e-237,"EE-EC H","Kcnc1"
"Shisa2",3.00614257153179e-227,0.695346185486345,0.676,0.168,5.07286558945989e-223,"EE-EC H","Shisa2"
"Syt7",3.36498276060828e-225,0.889486351148881,0.858,0.325,5.67840840852648e-221,"EE-EC H","Syt7"
"Fry",4.25444544218871e-219,0.521147070302005,0.624,0.144,7.17937668369344e-215,"EE-EC H","Fry"
"Krt7",6.13631166894043e-219,1.02497147143059,0.981,0.602,1.0355025941337e-214,"EE-EC H","Krt7"
"Itpr3",2.97228903654453e-217,0.723936493271145,0.779,0.25,5.0157377491689e-213,"EE-EC H","Itpr3"
"Chgb",4.52456197293158e-214,1.08103965890476,1,0.918,7.63519832932204e-210,"EE-EC H","Chgb"
"Neurod1",1.46048489230733e-212,0.905084931851715,0.984,0.655,2.46456825576862e-208,"EE-EC H","Neurod1"
"Gsdma",5.29536626235094e-211,0.669985142261742,0.715,0.19,8.9359305677172e-207,"EE-EC H","Gsdma"
"Serpina1e",3.40187198583053e-210,0.917949460223084,0.636,0.153,5.74065897608901e-206,"EE-EC H","Serpina1e"
"Lmx1a",1.43126335575392e-205,0.511632694638316,0.62,0.14,2.41525691283474e-201,"EE-EC H","Lmx1a"
"Col27a1",1.71581258261558e-205,0.662094912455933,0.538,0.114,2.89543373316379e-201,"EE-EC H","Col27a1"
"Cldn4",2.33400460977361e-200,0.838410057633422,0.793,0.306,3.93863277899297e-196,"EE-EC H","Cldn4"
"Klf4",1.7034376835402e-196,0.973656667166274,0.931,0.571,2.87455109097409e-192,"EE-EC H","Klf4"
"Acadsb",8.76331724355856e-195,0.532311291208967,0.598,0.15,1.47880978485051e-190,"EE-EC H","Acadsb"
"Hspb1",1.07744621589071e-194,0.813966816039028,0.639,0.167,1.81819048931558e-190,"EE-EC H","Hspb1"
"Slc18a1",5.66908672690716e-194,0.656501220614224,0.798,0.263,9.56658385165582e-190,"EE-EC H","Slc18a1"
"S100a6",3.46083751091179e-192,1.08937518058057,0.896,0.401,5.84016329966365e-188,"EE-EC H","S100a6"
"Cfb",3.6673543987383e-192,0.477348687184421,0.556,0.132,6.18866054787088e-188,"EE-EC H","Cfb"
"Gm32585",9.7339652446655e-187,0.751034772547051,0.47,0.091,1.6426066350373e-182,"EE-EC H","Gm32585"
"Errfi1",1.64453358249552e-186,0.832612943638427,0.921,0.517,2.77515042046119e-182,"EE-EC H","Errfi1"
"Ttyh1",4.57398109139372e-184,0.571103673833581,0.578,0.146,7.7185930917269e-180,"EE-EC H","Ttyh1"
"Cdk14",5.22267279665061e-183,0.373377044938905,0.444,0.081,8.81326034434791e-179,"EE-EC H","Cdk14"
"Ccnd2",1.80521933198093e-182,0.767435816755572,0.803,0.283,3.04630762271781e-178,"EE-EC H","Ccnd2"
"Asph",1.86536119459261e-182,0.684020700454665,0.806,0.326,3.14779701587503e-178,"EE-EC H","Asph"
"Sorl1",1.26299505248209e-181,0.561172070646209,0.634,0.182,2.13130415106353e-177,"EE-EC H","Sorl1"
"Ambp",2.93756998964301e-181,0.983390763849625,0.895,0.435,4.95714935752258e-177,"EE-EC H","Ambp"
"Nedd9",1.38366154066712e-179,0.582244136296882,0.499,0.112,2.33492884987577e-175,"EE-EC H","Nedd9"
"Lcorl",1.42499901247924e-169,0.77544922592395,0.827,0.415,2.40468583355871e-165,"EE-EC H","Lcorl"
"Vgf",7.4036893140344e-169,0.589030644094445,0.624,0.183,1.24937257174331e-164,"EE-EC H","Vgf"
"Ctsl",1.42637176290889e-166,0.696913250083307,0.743,0.279,2.40700234990876e-162,"EE-EC H","Ctsl"
"Mgll",9.21567632905134e-166,0.824336152328051,0.795,0.345,1.55514538052741e-161,"EE-EC H","Mgll"
"Ceacam20",7.39413717166353e-165,0.411141061312267,0.49,0.112,1.24776064771822e-160,"EE-EC H","Ceacam20"
"Tubb2b",5.71056948278751e-164,0.605007360368382,0.64,0.201,9.63658600220393e-160,"EE-EC H","Tubb2b"
"Shisa9",9.40542574824944e-164,0.332737065834933,0.314,0.043,1.58716559501709e-159,"EE-EC H","Shisa9"
"Slc5a4b",2.3686355340425e-161,0.396035909456429,0.37,0.063,3.99707246369672e-157,"EE-EC H","Slc5a4b"
"Krt19",9.55824668970049e-159,0.831233140776068,0.962,0.602,1.61295412888696e-154,"EE-EC H","Krt19"
"Utp14b",1.07584739433721e-157,0.891023558813481,0.708,0.271,1.81549247794404e-153,"EE-EC H","Utp14b"
"Ffar2",2.36404760917623e-156,0.649824286933733,0.702,0.247,3.98933034048488e-152,"EE-EC H","Ffar2"
"Plk5",5.17261281527593e-155,0.3393565924001,0.337,0.054,8.72878412577814e-151,"EE-EC H","Plk5"
"Otop3",1.97326997543015e-154,0.372133610149488,0.457,0.1,3.32989308353837e-150,"EE-EC H","Otop3"
"Fmo2",5.0081372071026e-154,0.347573014429674,0.347,0.058,8.45123153698564e-150,"EE-EC H","Fmo2"
"Iqsec1",6.3113956828859e-152,0.356929420936351,0.473,0.111,1.065048021487e-147,"EE-EC H","Iqsec1"
"B3galt5",1.46919506558556e-150,0.291784566611635,0.296,0.042,2.47926667317563e-146,"EE-EC H","B3galt5"
"Pde11a",7.2050650712698e-150,0.390502776261883,0.548,0.148,1.21585473077678e-145,"EE-EC H","Pde11a"
"Sstr1",8.66091712357334e-146,0.430550190616755,0.525,0.138,1.461529764603e-141,"EE-EC H","Sstr1"
"Lamb3",6.95272645505318e-145,0.347393158538099,0.288,0.042,1.17327258929022e-140,"EE-EC H","Lamb3"
"Cacna2d1",1.90325942430536e-144,0.678154211855358,0.842,0.458,3.21175027851529e-140,"EE-EC H","Cacna2d1"
"Dusp1",3.77430785677368e-144,0.745016176496479,0.905,0.541,6.36914450830558e-140,"EE-EC H","Dusp1"
"Chka",4.22963181751824e-144,1.02300929003408,0.89,0.587,7.13750369206204e-140,"EE-EC H","Chka"
"Ptprn",4.86062077778343e-144,0.539798771110577,0.681,0.239,8.20229756250954e-140,"EE-EC H","Ptprn"
"Gtf2f2",8.12630643140253e-143,0.538047099449235,0.585,0.181,1.37131421029918e-138,"EE-EC H","Gtf2f2"
"Mat2a",7.92473245480201e-140,0.792662920001467,0.737,0.352,1.33729860174784e-135,"EE-EC H","Mat2a"
"Skil",8.30084563145284e-139,0.486826293968325,0.61,0.201,1.40076770030767e-134,"EE-EC H","Skil"
"Klf6",2.24900015163011e-137,0.72360395678451,0.892,0.603,3.79518775587582e-133,"EE-EC H","Klf6"
"Amn",3.59834770333991e-137,0.475839856724631,0.603,0.203,6.0722117493861e-133,"EE-EC H","Amn"
"Cwh43",1.70165478536699e-135,0.443153386081744,0.501,0.139,2.87154245030679e-131,"EE-EC H","Cwh43"
"Tmtc3",2.73462699794165e-135,0.325020773237866,0.355,0.07,4.61468305902653e-131,"EE-EC H","Tmtc3"
"Ccdc68",3.88433927004455e-133,0.425909103606974,0.575,0.182,6.55482251820018e-129,"EE-EC H","Ccdc68"
"Nipal2",1.89796557263919e-131,0.488770508108465,0.621,0.22,3.20281690382863e-127,"EE-EC H","Nipal2"
"Prss30",5.27098109638791e-130,0.531043328529161,0.566,0.185,8.89478060015459e-126,"EE-EC H","Prss30"
"Mtss1",7.62119993407093e-130,0.531764596473498,0.733,0.314,1.28607748887447e-125,"EE-EC H","Mtss1"
"Etnk1",3.99195136128055e-129,0.601300859916624,0.842,0.472,6.73641792216092e-125,"EE-EC H","Etnk1"
"AC126280.1",9.6970864587316e-129,0.276129945787147,0.318,0.058,1.63638333991096e-124,"EE-EC H","AC126280.1"
"Fosb",3.01054657442135e-128,0.667087346985207,0.962,0.745,5.08029734433603e-124,"EE-EC H","Fosb"
"Pcsk1",4.40489973925882e-126,0.65800776759303,0.867,0.519,7.43326830999926e-122,"EE-EC H","Pcsk1"
"Id2",3.12161300277311e-124,0.653511471715778,0.938,0.638,5.26772194217963e-120,"EE-EC H","Id2"
"Pla2g7",5.55787006024673e-124,0.354643807649275,0.348,0.072,9.37890572666636e-120,"EE-EC H","Pla2g7"
"Pirt",8.58715640278989e-124,0.257902920505521,0.324,0.062,1.44908264297079e-119,"EE-EC H","Pirt"
"Slc38a1",6.09191754611272e-123,0.479224201080492,0.647,0.246,1.02801108590652e-118,"EE-EC H","Slc38a1"
"Kazald1",1.20423003185388e-122,0.324334143890218,0.353,0.074,2.03213817875343e-118,"EE-EC H","Kazald1"
"Ccdc3",2.31425322267165e-122,0.264118181978444,0.303,0.055,3.90530231325841e-118,"EE-EC H","Ccdc3"
"Tsc22d1",1.70633353326214e-121,0.60820948689831,0.926,0.657,2.87943783737986e-117,"EE-EC H","Tsc22d1"
"Gsdme",2.19991370607965e-121,0.338302002609922,0.449,0.12,3.7123543790094e-117,"EE-EC H","Gsdme"
"Flrt1",3.76408873068004e-121,0.280541399912099,0.348,0.074,6.35189973302258e-117,"EE-EC H","Flrt1"
"Mapk14",6.02469651752493e-121,0.432906363955446,0.608,0.211,1.01666753733233e-116,"EE-EC H","Mapk14"
"Ppic",7.09933012920467e-121,0.446718971459458,0.49,0.144,1.19801195930329e-116,"EE-EC H","Ppic"
"Serpinf2",3.07015652382293e-120,0.411754946786118,0.503,0.15,5.1808891339512e-116,"EE-EC H","Serpinf2"
"Foxa1",5.91182770130644e-119,0.447534898560765,0.535,0.171,9.97620924595461e-115,"EE-EC H","Foxa1"
"Id3",4.05607122845358e-116,0.614875732452049,0.934,0.656,6.84462019801542e-112,"EE-EC H","Id3"
"Tnfrsf11b",1.13051798543124e-115,0.351171774846685,0.384,0.093,1.90774910041522e-111,"EE-EC H","Tnfrsf11b"
"Cox7a1",4.18560502144165e-115,0.448009193150879,0.399,0.103,7.06320847368278e-111,"EE-EC H","Cox7a1"
"Pkdcc",7.75873631693942e-115,0.501856326839463,0.642,0.249,1.30928675348353e-110,"EE-EC H","Pkdcc"
"Fxyd3",7.37214726781321e-114,0.810923632473245,0.908,0.667,1.24404985144348e-109,"EE-EC H","Fxyd3"
"Atf3",9.36086953777563e-114,0.694410832682244,0.857,0.567,1.57964673449964e-109,"EE-EC H","Atf3"
"Rbp1",3.72399480191925e-113,0.438899253214868,0.48,0.148,6.28424122823873e-109,"EE-EC H","Rbp1"
"Apoa1",2.28261477182005e-112,0.562624536619727,0.645,0.256,3.85191242744634e-108,"EE-EC H","Apoa1"
"Plk3",4.65270290684915e-112,0.378160511941433,0.409,0.11,7.85143615530795e-108,"EE-EC H","Plk3"
"Pitx2",9.73061694081503e-112,0.46007808207064,0.539,0.183,1.64204160876254e-107,"EE-EC H","Pitx2"
"Fsd1l",7.01721106763207e-111,0.432816635599926,0.604,0.23,1.18415436766291e-106,"EE-EC H","Fsd1l"
"Id1",4.55320914098252e-108,0.61441385311448,0.957,0.721,7.68354042540801e-104,"EE-EC H","Id1"
"Egr3",4.97409604179857e-108,0.625537645168992,0.523,0.18,8.39378707053509e-104,"EE-EC H","Egr3"
"Fos",9.85601326520748e-108,0.566080589598212,0.991,0.836,1.66320223850376e-103,"EE-EC H","Fos"
"Nr4a1",2.78648137895211e-106,0.541746633646011,0.646,0.275,4.70218732698168e-102,"EE-EC H","Nr4a1"
"Sox4",7.19175941989796e-106,0.781658139266611,0.828,0.517,1.21360940210778e-101,"EE-EC H","Sox4"
"Apob",7.85048033562584e-106,0.53304669350259,0.671,0.307,1.32476855663686e-101,"EE-EC H","Apob"
"Atp8a1",6.8935388707907e-105,0.402550379477834,0.555,0.207,1.16328468444593e-100,"EE-EC H","Atp8a1"
"Rab3c",1.22132315720691e-104,0.287084847582698,0.481,0.142,2.06098282778666e-100,"EE-EC H","Rab3c"
"Tpbg",1.59867453253059e-104,0.3311428043539,0.478,0.137,2.69776327364538e-100,"EE-EC H","Tpbg"
"Auts2",2.39009012239609e-104,0.4226457888881,0.623,0.244,4.0332770815434e-100,"EE-EC H","Auts2"
"Lmna",3.5212375846982e-104,0.555946187786327,0.782,0.444,5.94208842417821e-100,"EE-EC H","Lmna"
"Jun",6.72514161648736e-103,0.508553511823977,0.993,0.895,1.13486764778224e-98,"EE-EC H","Jun"
"Slco2a1",8.20885243396994e-103,0.524170845540166,0.662,0.29,1.38524384823243e-98,"EE-EC H","Slco2a1"
"Btg1",2.03052080436385e-102,0.52839342682105,0.879,0.596,3.42650385736399e-98,"EE-EC H","Btg1"
"Foxn3",1.14247842461085e-101,0.386715450184406,0.54,0.196,1.92793234153082e-97,"EE-EC H","Foxn3"
"Fam20c",1.16444232691369e-101,0.325643876803711,0.361,0.093,1.96499642666686e-97,"EE-EC H","Fam20c"
"Camk2n1",1.29634757847042e-101,0.564299830953726,0.796,0.514,2.18758653866884e-97,"EE-EC H","Camk2n1"
"Neat1",1.44098551542782e-101,0.717765363130437,0.958,0.816,2.43166305728445e-97,"EE-EC H","Neat1"
"H3f3b",3.10773175170993e-101,0.467485605103958,0.993,0.972,5.2442973310105e-97,"EE-EC H","H3f3b"
"Tbx3",4.81594007692766e-101,0.482094920020098,0.688,0.313,8.12689887981543e-97,"EE-EC H","Tbx3"
"Apoc3",6.9947407241106e-101,0.714178280956495,0.486,0.162,1.18036249719366e-96,"EE-EC H","Apoc3"
"Ckb",8.854432484771e-101,0.508357698898049,0.65,0.271,1.49418548180511e-96,"EE-EC H","Ckb"
"S100a14",9.45543856858705e-101,0.373854257059451,0.447,0.136,1.59560525844906e-96,"EE-EC H","S100a14"
"Selenop",3.63017723326768e-100,0.745416775059463,0.936,0.748,6.12592408113921e-96,"EE-EC H","Selenop"
"Ptprs",5.502921623856e-100,0.265333343847566,0.348,0.086,9.286180240257e-96,"EE-EC H","Ptprs"
"Ugdh",1.57567037159601e-99,0.450032145602104,0.494,0.173,2.65894375206826e-95,"EE-EC H","Ugdh"
"Trp53inp2",3.96189915059651e-99,0.408421625885735,0.617,0.255,6.68570481663161e-95,"EE-EC H","Trp53inp2"
"Wif1",5.11598219188816e-98,0.274450015659119,0.327,0.077,8.63321994881127e-94,"EE-EC H","Wif1"
"Pcp4l1",3.06045382648276e-97,0.262410408227952,0.259,0.05,5.16451583218966e-93,"EE-EC H","Pcp4l1"
"Sqor",2.85748672368576e-96,0.460950314397102,0.52,0.193,4.82200884621972e-92,"EE-EC H","Sqor"
"Bex2",1.07147777153341e-95,0.589086984363324,0.688,0.336,1.80811873946263e-91,"EE-EC H","Bex2"
"Egr1",1.48094141648711e-95,0.537622120524508,0.968,0.768,2.499088640322e-91,"EE-EC H","Egr1"
"Tecpr1",1.77169106121805e-94,0.415954775005505,0.605,0.251,2.98972866580546e-90,"EE-EC H","Tecpr1"
"Lhfpl2",2.76130275865496e-94,0.319613494183366,0.467,0.152,4.65969840523025e-90,"EE-EC H","Lhfpl2"
"Kyat1",3.78161247339699e-94,0.264321480292016,0.335,0.085,6.38147104885742e-90,"EE-EC H","Kyat1"
"Ncam2",4.78020735152356e-93,0.32867124704125,0.454,0.147,8.06659990569601e-89,"EE-EC H","Ncam2"
"Atf2",5.27746438039604e-92,0.412107146022764,0.507,0.19,8.90572114191831e-88,"EE-EC H","Atf2"
"Sh3kbp1",1.05138880906573e-91,0.355449199353469,0.471,0.163,1.77421861529842e-87,"EE-EC H","Sh3kbp1"
"Slc9a2",1.14861188853078e-91,0.289956336080004,0.422,0.131,1.9382825618957e-87,"EE-EC H","Slc9a2"
"Ubc",7.46527033032464e-90,0.409173974221756,0.996,0.958,1.25976436824228e-85,"EE-EC H","Ubc"
"Hmgcr",8.3253509424958e-90,0.517441568280772,0.736,0.393,1.40490297154617e-85,"EE-EC H","Hmgcr"
"Ddx5",2.2798314115207e-89,0.442961945067937,0.996,0.946,3.84721550694119e-85,"EE-EC H","Ddx5"
"Ncald",4.61817930918324e-89,0.438570964552873,0.642,0.293,7.79317758424672e-85,"EE-EC H","Ncald"
"Retreg1",6.36874301247118e-89,0.388107757694151,0.559,0.227,1.07472538335451e-84,"EE-EC H","Retreg1"
"Zfp622",3.01778399791998e-88,0.44912894858276,0.614,0.276,5.09251049648997e-84,"EE-EC H","Zfp622"
"Gpx3",4.52547608224808e-86,0.637438273357873,0.777,0.467,7.63674088879363e-82,"EE-EC H","Gpx3"
"Arfgef1",8.54621164562849e-86,0.436843062887644,0.665,0.333,1.44217321519981e-81,"EE-EC H","Arfgef1"
"Tra2a",1.51818955340913e-85,0.524724348896487,0.673,0.348,2.5619448713779e-81,"EE-EC H","Tra2a"
"2210407C18Rik",3.48057333015691e-85,0.274892883127726,0.504,0.184,5.87346749463978e-81,"EE-EC H","2210407C18Rik"
"Fus",1.26440629617449e-84,0.52660419569347,0.837,0.583,2.13368562479444e-80,"EE-EC H","Fus"
"Jund",2.33764677656387e-84,0.398805054576574,0.991,0.922,3.94477893545154e-80,"EE-EC H","Jund"
"Adgrg4",1.79686644533098e-83,0.420628243784983,0.753,0.366,3.03221212649603e-79,"EE-EC H","Adgrg4"
"Epb41l4b",2.23628584648373e-83,0.409842801045249,0.649,0.31,3.7737323659413e-79,"EE-EC H","Epb41l4b"
"St8sia3",4.05195622059067e-82,0.274809995316331,0.37,0.112,6.83767612224676e-78,"EE-EC H","St8sia3"
"Fblim1",1.28840833518242e-81,0.329661220663673,0.516,0.203,2.17418906562033e-77,"EE-EC H","Fblim1"
"Amigo2",1.47096713088535e-81,0.358452820425423,0.383,0.12,2.48225703336903e-77,"EE-EC H","Amigo2"
"Dgkh",2.58004284011538e-81,0.345343573658062,0.497,0.191,4.35382229269471e-77,"EE-EC H","Dgkh"
"Gm15200",3.21774342778798e-81,0.424907454634106,0.536,0.22,5.42994203439221e-77,"EE-EC H","Gm15200"
"Tgfb1",1.61217255143096e-80,0.253322699854844,0.334,0.093,2.72054118053974e-76,"EE-EC H","Tgfb1"
"Camk1d",3.06300580043404e-80,0.328294364506899,0.478,0.176,5.16882228823245e-76,"EE-EC H","Camk1d"
"Sis",6.62650260673569e-80,0.552680683767092,0.903,0.632,1.11822231488665e-75,"EE-EC H","Sis"
"Gla",2.63084938507551e-79,0.297675474474471,0.347,0.103,4.43955833731492e-75,"EE-EC H","Gla"
"Nrp1",6.02754208050852e-79,0.32976393672434,0.484,0.183,1.01714772608581e-74,"EE-EC H","Nrp1"
"Tppp3",6.04227284526219e-79,0.255233888204734,0.312,0.085,1.01963354263799e-74,"EE-EC H","Tppp3"
"Glul",1.50261906199371e-77,0.477006913608468,0.578,0.276,2.53566966711439e-73,"EE-EC H","Glul"
"Myt1",3.53662373983987e-76,0.290968850847968,0.473,0.177,5.96805256097978e-72,"EE-EC H","Myt1"
"Trpa1",2.25025878573722e-75,0.339039907914815,0.36,0.109,3.79731170093156e-71,"EE-EC H","Trpa1"
"Atp6v1b2",3.6862947682008e-75,0.430561291179377,0.645,0.334,6.22062242133885e-71,"EE-EC H","Atp6v1b2"
"Crip1",1.72627397292631e-74,0.380781794442517,0.994,0.91,2.91308732931315e-70,"EE-EC H","Crip1"
"Rundc3a",1.8183998636854e-74,0.37951658581798,0.671,0.343,3.06854976996911e-70,"EE-EC H","Rundc3a"
"Sdcbp",9.75304000239946e-74,0.423826101540477,0.76,0.488,1.64582550040491e-69,"EE-EC H","Sdcbp"
"Neurl3",1.33631380916045e-73,0.554982780126548,0.669,0.356,2.25502955295825e-69,"EE-EC H","Neurl3"
"Lmo4",2.1299079171927e-73,0.264927592054174,0.374,0.123,3.59421961026267e-69,"EE-EC H","Lmo4"
"Phgr1",3.22702455069225e-73,0.572301965511526,0.864,0.627,5.44560392929317e-69,"EE-EC H","Phgr1"
"Rnf145",5.33961198533695e-73,0.316994932511928,0.535,0.225,9.0105952252561e-69,"EE-EC H","Rnf145"
"Scamp5",9.16855225943598e-73,0.263698078078178,0.422,0.151,1.54719319377982e-68,"EE-EC H","Scamp5"
"Ubr4",1.1586229285131e-72,0.315629937710532,0.558,0.247,1.95517619186586e-68,"EE-EC H","Ubr4"
"Trib1",1.21727748768275e-72,0.453599037903781,0.634,0.319,2.05415576046464e-68,"EE-EC H","Trib1"
"App",5.00494576988619e-72,0.456272866929772,0.74,0.495,8.44584598668295e-68,"EE-EC H","App"
"Tob1",5.86895290286984e-72,0.46541189918902,0.74,0.464,9.90385802359286e-68,"EE-EC H","Tob1"
"Tmigd3",1.26748071906494e-71,0.277485492003112,0.425,0.152,2.13887371342209e-67,"EE-EC H","Tmigd3"
"Ugcg",4.22172292637238e-71,0.27584209059831,0.393,0.137,7.12415743825339e-67,"EE-EC H","Ugcg"
"Elovl7",4.36562036890938e-71,0.295752058667583,0.462,0.18,7.36698437253458e-67,"EE-EC H","Elovl7"
"Sirt1",8.47235812700342e-71,0.366470280619299,0.379,0.132,1.42971043393183e-66,"EE-EC H","Sirt1"
"Cadps",2.54702387645168e-70,0.368567617267196,0.62,0.294,4.29810279151221e-66,"EE-EC H","Cadps"
"Slc15a1",2.89982152671097e-69,0.29685775544819,0.477,0.189,4.89344882632477e-65,"EE-EC H","Slc15a1"
"Junb",3.35925132838802e-69,0.403014037159823,0.939,0.785,5.66873661665478e-65,"EE-EC H","Junb"
"Tmcc3",7.44044789111824e-69,0.289924508373983,0.399,0.144,1.2555755816262e-64,"EE-EC H","Tmcc3"
"Marcks",3.82410467295391e-68,0.462836475880094,0.798,0.56,6.45317663560973e-64,"EE-EC H","Marcks"
"Upb1",4.3323284470187e-68,0.324661405988051,0.499,0.208,7.31080425434406e-64,"EE-EC H","Upb1"
"Kcnb2",6.1894684719612e-68,0.339957794226062,0.632,0.306,1.04447280464345e-63,"EE-EC H","Kcnb2"
"Agr3",1.1242616113002e-67,0.301110924741048,0.571,0.238,1.89719146906908e-63,"EE-EC H","Agr3"
"Bzw2",2.10905603368874e-67,0.332368874972172,0.523,0.23,3.55903205684975e-63,"EE-EC H","Bzw2"
"Gspt1",5.27117272470618e-67,0.409426010874519,0.587,0.297,8.89510397294168e-63,"EE-EC H","Gspt1"
"Btg2",2.64801094102359e-66,0.378934713499576,0.984,0.886,4.4685184629773e-62,"EE-EC H","Btg2"
"Cbx4",5.56435931916044e-66,0.300496857099623,0.452,0.184,9.38985635108324e-62,"EE-EC H","Cbx4"
"4930539E08Rik",7.91116342535005e-66,0.435606331883889,0.659,0.365,1.33500882802782e-61,"EE-EC H","4930539E08Rik"
"Hepacam2",1.79774543548932e-65,0.384899594243138,0.934,0.756,3.03369542238823e-61,"EE-EC H","Hepacam2"
"Fbxo33",2.75788634268006e-65,0.311113041626808,0.366,0.129,4.65393320327261e-61,"EE-EC H","Fbxo33"
"Kif1b",4.51279722110344e-65,0.338672171194676,0.617,0.314,7.61534531061206e-61,"EE-EC H","Kif1b"
"Ppp3ca",1.55107931998035e-64,0.392482135491591,0.601,0.309,2.61744635246685e-60,"EE-EC H","Ppp3ca"
"Scg3",2.16388440468438e-64,0.474932950359068,0.681,0.387,3.6515549329049e-60,"EE-EC H","Scg3"
"C1qtnf4",2.4872202527049e-64,0.314202397026991,0.425,0.168,4.19718417643952e-60,"EE-EC H","C1qtnf4"
"Ets1",2.75803473125716e-64,0.268439822484,0.426,0.164,4.65418360899645e-60,"EE-EC H","Ets1"
"Svip",5.25379612667919e-64,0.307335463838107,0.484,0.207,8.86578096377113e-60,"EE-EC H","Svip"
"Litaf",6.86592439068936e-64,0.318280719964569,0.509,0.227,1.15862474092883e-59,"EE-EC H","Litaf"
"Pkp4",1.40884616363812e-63,0.278103158757974,0.439,0.175,2.37742790113933e-59,"EE-EC H","Pkp4"
"Fam107b",1.90766149068466e-63,0.321708199747893,0.431,0.175,3.21917876553036e-59,"EE-EC H","Fam107b"
"Tspan13",5.01874635878705e-63,0.450062868040239,0.764,0.504,8.46913448045315e-59,"EE-EC H","Tspan13"
"Lap3",3.5731012343478e-62,0.434138828144777,0.64,0.365,6.02960833296192e-58,"EE-EC H","Lap3"
"Itpk1",1.63450515699009e-61,0.296898008725921,0.517,0.233,2.75822745242077e-57,"EE-EC H","Itpk1"
"Ifrd1",1.78144814935606e-61,0.300564602821482,0.416,0.166,3.00619375203834e-57,"EE-EC H","Ifrd1"
"Hsp90ab1",3.35226999308371e-61,0.317933556781801,1,0.986,5.65695561332876e-57,"EE-EC H","Hsp90ab1"
"Ankfy1",5.35089987556386e-61,0.265365536488331,0.423,0.169,9.02964354001401e-57,"EE-EC H","Ankfy1"
"Mical2",3.58134732846844e-60,0.256309523381317,0.418,0.164,6.04352361679049e-56,"EE-EC H","Mical2"
"Ppp1r15a",4.55162057659642e-60,0.450815665558482,0.645,0.36,7.68085972300646e-56,"EE-EC H","Ppp1r15a"
"Pcsk1n",4.80293230282898e-60,0.528897877850077,0.812,0.579,8.10494826102391e-56,"EE-EC H","Pcsk1n"
"Hsp90aa1",1.1451043283442e-59,0.332488166160829,0.99,0.945,1.93236355408084e-55,"EE-EC H","Hsp90aa1"
"Pkm",1.99898414035407e-59,0.368933918597545,0.964,0.889,3.37328573684749e-55,"EE-EC H","Pkm"
"Pde4d",2.02535591364146e-59,0.267771369361264,0.41,0.164,3.41778810426996e-55,"EE-EC H","Pde4d"
"Dusp5",6.86948354578816e-59,0.396721057736082,0.694,0.401,1.15922534835175e-54,"EE-EC H","Dusp5"
"Gse1",9.42378852306668e-59,0.340952619776874,0.649,0.355,1.5902643132675e-54,"EE-EC H","Gse1"
"Trim31",2.70902845792029e-58,0.298258419739976,0.51,0.232,4.57148552274048e-54,"EE-EC H","Trim31"
"Hmgcs1",4.1352087109059e-58,0.533419209751633,0.663,0.412,6.9781646996537e-54,"EE-EC H","Hmgcs1"
"Nr3c1",5.85106852718712e-58,0.309079454950758,0.422,0.177,9.87367813962827e-54,"EE-EC H","Nr3c1"
"Krt20",1.08068272480692e-57,0.361320731136965,0.766,0.448,1.82365209811169e-53,"EE-EC H","Krt20"
"Gcc2",5.66557784044012e-57,0.36674787763953,0.805,0.584,9.56066260574271e-53,"EE-EC H","Gcc2"
"Itgb1",9.10840614405229e-57,0.351703502084856,0.61,0.342,1.53704353680882e-52,"EE-EC H","Itgb1"
