"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mrps18b",1.68708654518666e-59,0.574738163509904,0.523,0.087,2.61667123158451e-55,"Ent","Mrps18b"
"Ndufb4",1.76660445047494e-59,1.04702016066375,0.867,0.305,2.74000350268663e-55,"Ent","Ndufb4"
"Pdss1",3.39224003356544e-59,0.378469945535916,0.312,0.031,5.26136429206e-55,"Ent","Pdss1"
"Mtx2",6.60730801334664e-59,0.578746243474426,0.539,0.093,1.02479347287006e-54,"Ent","Mtx2"
"Vdac2",1.04814106375848e-58,1.32262299573306,0.883,0.378,1.62566678988941e-54,"Ent","Vdac2"
"Plin3",1.07881163441002e-58,1.01407509687451,0.656,0.152,1.67323684496995e-54,"Ent","Plin3"
"Mrpl18",1.19038618640731e-58,0.878044217730702,0.734,0.187,1.84628897511773e-54,"Ent","Mrpl18"
"Mtch2",1.79056993877002e-58,1.21681852669751,0.82,0.284,2.7771739750323e-54,"Ent","Mtch2"
"Timm8b1",1.8469909006845e-58,0.958995098899273,0.781,0.216,2.86468288696166e-54,"Ent","Timm8b"
"Coa3",2.11579710378384e-58,0.96612897348009,0.875,0.286,3.28160130796874e-54,"Ent","Coa3"
"Pim1",2.56373766322096e-58,0.397818490897415,0.289,0.027,3.97635711565571e-54,"Ent","Pim1"
"Apool",3.28947910651646e-58,0.424639542894032,0.391,0.049,5.10198209420703e-54,"Ent","Apool"
"Gstm2",5.4417253356078e-58,0.265209976677557,0.203,0.012,8.4401159955277e-54,"Ent","Gstm2"
"Hspd11",6.71294287024326e-58,1.34150389427847,0.836,0.287,1.04117743917473e-53,"Ent","Hspd1"
"Cldnd1",7.55155179054879e-58,0.645611827400435,0.523,0.092,1.17124568271412e-53,"Ent","Cldnd1"
"Tspan3",9.79711368052042e-58,0.868479459542649,0.703,0.182,1.51953233184872e-53,"Ent","Tspan3"
"Tmem2521",1.03517924639395e-57,0.660046667306841,0.461,0.07,1.60556301115702e-53,"Ent","Tmem252"
"Ebp",5.2210835237499e-57,0.740185896933849,0.688,0.164,8.0979005453361e-53,"Ent","Ebp"
"Cox5b1",5.88298647732682e-57,1.42123856397666,0.969,0.663,9.1245120263339e-53,"Ent","Cox5b"
"Tomm20",7.95188702838762e-57,0.889504905807687,0.82,0.244,1.23333767810292e-52,"Ent","Tomm20"
"Ckb1",8.07187944406859e-57,1.63844397769274,0.75,0.209,1.25194850177504e-52,"Ent","Ckb"
"Cox7a11",8.79016544566062e-57,0.994960190860937,0.539,0.102,1.36335466062196e-52,"Ent","Cox7a1"
"Nadk2",9.83387174649136e-57,0.330248499580129,0.289,0.027,1.52523350788081e-52,"Ent","Nadk2"
"Dlat",1.15322164474046e-56,0.460283352426213,0.414,0.057,1.78864677099245e-52,"Ent","Dlat"
"Tex261",1.45441957318561e-56,0.668401233108292,0.617,0.129,2.25580475801088e-52,"Ent","Tex261"
"Slc3a2",2.48821073788849e-56,0.799457573558291,0.648,0.147,3.85921485446505e-52,"Ent","Slc3a2"
"Pxdc1",3.29483141665998e-56,0.25067836363219,0.18,0.01,5.11028352723962e-52,"Ent","Pxdc1"
"Hspe11",4.9218965948404e-56,1.52035729128945,0.883,0.393,7.63386161859746e-52,"Ent","Hspe1"
"Psmb101",6.59054459855534e-56,1.04926983423671,0.859,0.325,1.02219346723593e-51,"Ent","Psmb10"
"Psma4",7.86684805212723e-56,0.963333173846213,0.852,0.294,1.22014813288493e-51,"Ent","Psma4"
"Uqcrh2",1.09174681588045e-55,1.28615654602647,0.977,0.706,1.69329931143057e-51,"Ent","Uqcrh"
"Mt2",1.13584591131787e-55,0.405857676078611,0.25,0.021,1.76169700845402e-51,"Ent","Mt2"
"Eci1",1.51202954647506e-55,0.715010670185193,0.648,0.147,2.34515782658282e-51,"Ent","Eci1"
"Elovl6",1.61158860919797e-55,0.846331027383746,0.586,0.125,2.49957393286605e-51,"Ent","Elovl6"
"0610012G03Rik",1.63770054930662e-55,0.880754857987271,0.789,0.237,2.54007355197456e-51,"Ent","0610012G03Rik"
"Pomp",4.4373940813e-55,1.00269439397403,0.875,0.339,6.88239822009629e-51,"Ent","Pomp"
"Rps27l",5.23249428404558e-55,1.16445573197588,0.953,0.51,8.11559863455469e-51,"Ent","Rps27l"
