"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chga",0,4.18094316720149,1,0.467,0,"EE-EC","Chga"
"Tph1",0,3.63698843366356,0.995,0.176,0,"EE-EC","Tph1"
"S100a6",0,3.15465706352575,0.896,0.119,0,"EE-EC","S100a6"
"Krt7",0,2.95455195246783,0.977,0.238,0,"EE-EC","Krt7"
"Stxbp5l",0,2.57294767150547,0.956,0.105,0,"EE-EC","Stxbp5l"
"Cartpt",0,2.45128289081902,0.673,0.041,0,"EE-EC","Cartpt"
"Serpina1c",0,2.44844483303057,0.81,0.072,0,"EE-EC","Serpina1c"
"Ambp",0,2.43210313868864,0.901,0.172,0,"EE-EC","Ambp"
"Hbegf",0,1.93607581998649,0.859,0.113,0,"EE-EC","Hbegf"
"Ccnd2",0,1.88715049700328,0.846,0.123,0,"EE-EC","Ccnd2"
"Snap25",0,1.88587144044328,0.951,0.144,0,"EE-EC","Snap25"
"Serpina1e",0,1.86662589594246,0.695,0.048,0,"EE-EC","Serpina1e"
"Syt7",0,1.75775636037913,0.925,0.212,0,"EE-EC","Syt7"
"Hspb1",0,1.72414559618845,0.699,0.045,0,"EE-EC","Hspb1"
"Trpm2",0,1.65402575515075,0.888,0.048,0,"EE-EC","Trpm2"
"Slc18a1",0,1.55145791516298,0.865,0.093,0,"EE-EC","Slc18a1"
"Ctsl",0,1.47587191634639,0.807,0.118,0,"EE-EC","Ctsl"
"Scn3a",0,1.45221622728387,0.872,0.103,0,"EE-EC","Scn3a"
"Ssfa2",0,1.4474276502636,0.809,0.072,0,"EE-EC","Ssfa2"
"Slc20a1",0,1.4242460080525,0.64,0.04,0,"EE-EC","Slc20a1"
"Nt5e",0,1.42334874007713,0.833,0.083,0,"EE-EC","Nt5e"
"Gsdma",0,1.37895883475805,0.773,0.063,0,"EE-EC","Gsdma"
"Slc38a11",0,1.37603405283957,0.797,0.015,0,"EE-EC","Slc38a11"
"Itpr3",0,1.3639163110197,0.84,0.133,0,"EE-EC","Itpr3"
"Gm32585",0,1.35719565656469,0.499,0.016,0,"EE-EC","Gm32585"
"Ffar2",0,1.34901791615539,0.749,0.099,0,"EE-EC","Ffar2"
"Shisa2",0,1.28782016922161,0.724,0.058,0,"EE-EC","Shisa2"
"Kcnc1",0,1.2573947950014,0.736,0.043,0,"EE-EC","Kcnc1"
"Rasal2",0,1.246775488805,0.755,0.039,0,"EE-EC","Rasal2"
"Ptprn",0,1.12852264701792,0.731,0.109,0,"EE-EC","Ptprn"
"Tubb2b",0,1.1174977340634,0.694,0.085,0,"EE-EC","Tubb2b"
"Syn2",0,1.09514665145541,0.71,0.046,0,"EE-EC","Syn2"
"Lmx1a",0,1.05959445691518,0.677,0.012,0,"EE-EC","Lmx1a"
"Acadsb",0,0.902760897062393,0.626,0.06,0,"EE-EC","Acadsb"
"Fry",0,0.885388655419931,0.642,0.058,0,"EE-EC","Fry"
"Rbp1",0,0.865895279069414,0.525,0.033,0,"EE-EC","Rbp1"
"Tpbg",0,0.865105390687304,0.511,0.011,0,"EE-EC","Tpbg"
"Sstr1",0,0.852024049607671,0.553,0.033,0,"EE-EC","Sstr1"
"Serpinf2",0,0.849326768714188,0.545,0.025,0,"EE-EC","Serpinf2"
"Otop3",0,0.703429399425042,0.483,0.016,0,"EE-EC","Otop3"
"Cdk14",0,0.670702747198498,0.464,0.008,0,"EE-EC","Cdk14"
"Chgb",1.51396888074469e-305,2.92446266753578,1,0.839,2.34816573403501e-301,"EE-EC","Chgb"
"Ddhd1",6.13371048770228e-305,1.01737302994959,0.677,0.084,9.51338496642623e-301,"EE-EC","Ddhd1"
"Asph",3.12972001967828e-304,1.27483252443244,0.87,0.196,4.85419575052101e-300,"EE-EC","Asph"
"Cldn4",1.60882954545234e-303,1.4523909799665,0.859,0.191,2.49529462499659e-299,"EE-EC","Cldn4"
"Rab3c",4.34118405295099e-301,0.723953634141752,0.512,0.03,6.73317646612698e-297,"EE-EC","Rab3c"
"Fcgbp",2.58094369631997e-299,1.71204947462322,0.65,0.077,4.00304367299228e-295,"EE-EC","Fcgbp"
"Col27a1",1.34540692967923e-298,1.06781416591544,0.556,0.044,2.08672614793249e-294,"EE-EC","Col27a1"
"Ttyh1",4.5993651071804e-297,0.967898304682642,0.609,0.061,7.1336152812368e-293,"EE-EC","Ttyh1"
"Gtf2f2",7.9108659651052e-296,1.05538332338262,0.616,0.068,1.22697531118782e-291,"EE-EC","Gtf2f2"
"Vgf",4.86867301593349e-293,1.06277427199262,0.652,0.078,7.55131184771284e-289,"EE-EC","Vgf"
"S100a14",1.26617163940124e-290,0.767512771747153,0.48,0.026,1.96383221271132e-286,"EE-EC","S100a14"
"Nedd9",3.73247557776195e-290,0.966514574883562,0.524,0.038,5.78906962110879e-286,"EE-EC","Nedd9"
"Tnfrsf11b",1.48858271587026e-284,0.652467606715595,0.405,0.011,2.30879179231477e-280,"EE-EC","Tnfrsf11b"
"Sorl1",1.82295371452511e-284,0.974892427329417,0.656,0.088,2.82740121122845e-280,"EE-EC","Sorl1"
"Plk5",1.78741245025279e-283,0.583788500113737,0.361,0.004,2.77227671034208e-279,"EE-EC","Plk5"
"Mapk14",5.99361152142467e-278,0.911096893666838,0.647,0.085,9.29609146972966e-274,"EE-EC","Mapk14"
"Slc5a4b",1.44204016772285e-277,0.661540961393439,0.399,0.012,2.23660430013814e-273,"EE-EC","Slc5a4b"
"Gsdme",2.68548935908881e-277,0.648350631438589,0.491,0.032,4.16519399594675e-273,"EE-EC","Gsdme"
"Krt19",2.88042194677351e-277,2.34346895645829,0.961,0.431,4.46753443944571e-273,"EE-EC","Krt19"
"Foxa1",2.58573488878505e-276,0.893211451343081,0.567,0.057,4.01047481250561e-272,"EE-EC","Foxa1"
"Dusp1",5.55920481659659e-275,1.60568664997331,0.921,0.281,8.62232667054132e-271,"EE-EC","Dusp1"
"Pkdcc",1.39373326732149e-273,1.07634093267515,0.681,0.105,2.16168029761562e-269,"EE-EC","Pkdcc"
"Trpa1",1.0440840504225e-271,0.750242822402072,0.386,0.011,1.6193743622053e-267,"EE-EC","Trpa1"
"Lcorl",6.35525446606568e-271,1.40272823003421,0.903,0.288,9.85699967686788e-267,"EE-EC","Lcorl"
"Klf4",1.70126770742063e-267,1.88424150221215,0.934,0.396,2.6386662142094e-263,"EE-EC","Klf4"
"Ceacam20",3.33124020241676e-267,0.691095382571103,0.504,0.039,5.1667535539484e-263,"EE-EC","Ceacam20"
"Neurod1",6.65691070597402e-264,1.65582271002223,0.982,0.475,1.03248685049657e-259,"EE-EC","Neurod1"
"Pcsk1",2.18982023805468e-262,1.46051542829707,0.87,0.244,3.39641118922281e-258,"EE-EC","Pcsk1"
"Pla2g7",5.20469207103482e-261,0.627418448293306,0.366,0.009,8.072477402175e-257,"EE-EC","Pla2g7"
"Mgll",1.54304215729817e-256,1.61865009763689,0.835,0.239,2.39325838596945e-252,"EE-EC","Mgll"
"Cacna2d1",3.91329127199708e-255,1.34724306540734,0.9,0.285,6.06951476286747e-251,"EE-EC","Cacna2d1"
"Shisa9",1.618903736174e-254,0.552457552780724,0.334,0.005,2.51091969480587e-250,"EE-EC","Shisa9"
"Lmna",5.136074501071e-246,1.27340282205852,0.822,0.231,7.96605155116113e-242,"EE-EC","Lmna"
"Fmo2",2.63418322811436e-245,0.567131028951948,0.358,0.011,4.08561818680537e-241,"EE-EC","Fmo2"
"Wif1",1.7819333189868e-243,0.505653766331586,0.342,0.008,2.76377857774853e-239,"EE-EC","Wif1"
"Iqsec1",1.83897770500475e-241,0.607359397308944,0.489,0.044,2.85225442046236e-237,"EE-EC","Iqsec1"
"Ccdc3",3.07529330938819e-241,0.462752084208688,0.324,0.006,4.76977992286108e-237,"EE-EC","Ccdc3"
"AC126280.1",1.3009324375264e-240,0.483808286784931,0.334,0.008,2.01774621060344e-236,"EE-EC","AC126280.1"
"Sulf2",4.06039827642509e-232,0.483914719567001,0.37,0.016,6.29767772673532e-228,"EE-EC","Sulf2"
"Ppic",1.70847689013569e-231,0.789778835224874,0.507,0.054,2.64984765660046e-227,"EE-EC","Ppic"
"Sqor",5.19600455392798e-231,0.916175746559448,0.558,0.076,8.05900306314229e-227,"EE-EC","Sqor"
"Slc38a1",3.45790120308529e-228,0.89391440696767,0.677,0.128,5.36320476598529e-224,"EE-EC","Slc38a1"
"Tgfb1",1.27083046135182e-227,0.525399079891572,0.355,0.015,1.97105804555668e-223,"EE-EC","Tgfb1"
"Kazald1",1.00590350572364e-224,0.570379176680108,0.37,0.018,1.56015633737736e-220,"EE-EC","Kazald1"
"Tac1",1.24169938867962e-224,0.822276607639017,0.412,0.028,1.92587575184209e-220,"EE-EC","Tac1"
"Flrt1",6.54476607080418e-223,0.492580214343828,0.363,0.017,1.01509321758173e-218,"EE-EC","Flrt1"
"Slco2a1",8.43060226787458e-221,1.09172900788715,0.72,0.165,1.30758641174735e-216,"EE-EC","Slco2a1"
"Amn",5.45526013009062e-220,0.817064661146013,0.624,0.107,8.46110846177056e-216,"EE-EC","Amn"
"Ccdc68",9.13352406751713e-219,0.75482229482508,0.585,0.091,1.41660958287191e-214,"EE-EC","Ccdc68"
"Btg1",5.24647456321791e-215,1.21260031569103,0.88,0.328,8.13728204755098e-211,"EE-EC","Btg1"
"Nipal2",1.72016117909537e-214,0.870350557485641,0.65,0.126,2.66796998877692e-210,"EE-EC","Nipal2"
"Pitx2",1.87556381560703e-212,0.862790318706195,0.559,0.085,2.9089994780065e-208,"EE-EC","Pitx2"
"Lamb3",1.41366440302053e-210,0.550591171345448,0.303,0.008,2.19259348908485e-206,"EE-EC","Lamb3"
"Ckb",8.34607220162082e-209,1.11675695887201,0.684,0.148,1.29447579847139e-204,"EE-EC","Ckb"
"Sox4",2.43150173585218e-208,1.65127983443638,0.828,0.277,3.77125919230673e-204,"EE-EC","Sox4"
"Adcy8",9.85926967487033e-208,0.387549104853195,0.297,0.008,1.52917272657239e-203,"EE-EC","Adcy8"
"Nr4a1",1.06358390730246e-207,1.04105601961195,0.694,0.151,1.64961864022611e-203,"EE-EC","Nr4a1"
"Utp14b",2.98162876891207e-207,1.43641117008649,0.749,0.196,4.62450622058262e-203,"EE-EC","Utp14b"
"Cwh43",6.32280428024589e-206,0.746254696854074,0.517,0.07,9.80666943866137e-202,"EE-EC","Cwh43"
"Fam20c",1.5231449375202e-205,0.561995663066421,0.371,0.024,2.36239779809383e-201,"EE-EC","Fam20c"
"Gm15200",1.78176785443383e-205,0.895800090068719,0.571,0.093,2.76352194222687e-201,"EE-EC","Gm15200"
"Slc9a2",1.96384445435844e-205,0.549171495222421,0.444,0.044,3.04592274870994e-201,"EE-EC","Slc9a2"
"Pirt",2.11173436977956e-205,0.441205322698664,0.332,0.015,3.27530000752809e-201,"EE-EC","Pirt"
"Tmem44",4.63786914219927e-203,0.462436212592264,0.344,0.018,7.19333503955107e-199,"EE-EC","Tmem44"
"Man1c1",1.79656711010749e-202,0.415591491162589,0.305,0.01,2.78647558777672e-198,"EE-EC","Man1c1"
"Tspan13",1.19098764739093e-200,1.21539909325663,0.776,0.236,1.84722184110334e-196,"EE-EC","Tspan13"
"Krt20",2.69658010500525e-199,1.12690802482036,0.767,0.184,4.18239574286315e-195,"EE-EC","Krt20"
"Agr3",4.90258907525936e-199,0.816295391197031,0.608,0.102,7.60391565572727e-195,"EE-EC","Agr3"
"Fxyd3",5.57731866193178e-199,1.82281957508107,0.878,0.399,8.65042124465618e-195,"EE-EC","Fxyd3"
"St8sia3",9.33523010880583e-198,0.52236370378682,0.392,0.032,1.44789418987578e-193,"EE-EC","St8sia3"
"Bex2",1.02579772174585e-197,1.21061855132512,0.737,0.2,1.59101226642781e-193,"EE-EC","Bex2"
"Mat2a",1.88810681787995e-197,1.31895348049428,0.781,0.254,2.92845367453181e-193,"EE-EC","Mat2a"
"Errfi1",1.63617621263566e-196,1.23189195047373,0.932,0.364,2.53770930579791e-192,"EE-EC","Errfi1"
"Tsc22d1",1.89898154727499e-195,1.27239564283875,0.912,0.433,2.94532037982351e-191,"EE-EC","Tsc22d1"
"Gpx3",2.72752315586441e-195,1.45602061106649,0.814,0.269,4.23038841474569e-191,"EE-EC","Gpx3"
"B3galt5",5.37490136323054e-193,0.459959515725289,0.308,0.013,8.33647201437057e-189,"EE-EC","B3galt5"
"Cntnap2",1.22884228978694e-192,0.405714072492194,0.271,0.006,1.90593439145955e-188,"EE-EC","Cntnap2"
"Apoa1",1.09948096577451e-190,1.11086496205571,0.687,0.173,1.70529497791626e-186,"EE-EC","Apoa1"
"Tmtc3",4.19635441390161e-188,0.522104374157312,0.373,0.03,6.50854569596139e-184,"EE-EC","Tmtc3"
"Pde11a",3.83660143077278e-187,0.63587962443985,0.553,0.091,5.95056881912858e-183,"EE-EC","Pde11a"
"Egr3",8.58760521110719e-187,1.11538667098056,0.545,0.092,1.33193756824272e-182,"EE-EC","Egr3"
"Itgb7",1.03979628917514e-186,0.394612497375764,0.276,0.008,1.61272404451065e-182,"EE-EC","Itgb7"
"Etnk1",1.90237151747813e-186,1.01860798275515,0.89,0.325,2.95057822360859e-182,"EE-EC","Etnk1"
"Parvb",2.20472216895211e-186,0.373029208567841,0.288,0.011,3.41952408404472e-182,"EE-EC","Parvb"
"Lhfpl2",2.56397004573633e-186,0.601051081593682,0.478,0.064,3.97671754093704e-182,"EE-EC","Lhfpl2"
"Skil",3.89425298934631e-186,0.817343096559922,0.609,0.124,6.03998638647612e-182,"EE-EC","Skil"
"Tmigd3",5.18945825612174e-186,0.581184832955388,0.455,0.056,8.04884975524482e-182,"EE-EC","Tmigd3"
"Prss30",1.32049291377007e-184,0.895031298100972,0.596,0.122,2.04808450925738e-180,"EE-EC","Prss30"
"Sh3kbp1",9.28346859950609e-184,0.656080538526221,0.501,0.075,1.43986597978339e-179,"EE-EC","Sh3kbp1"
"Apoc3",3.10222863343872e-182,1.23473322720351,0.494,0.074,4.81155661046346e-178,"EE-EC","Apoc3"
"Grm4",5.95304225506811e-182,0.357649459299447,0.263,0.007,9.23316853761064e-178,"EE-EC","Grm4"
"Kyat1",1.6139199771503e-181,0.44816497489689,0.335,0.022,2.50318988456012e-177,"EE-EC","Kyat1"
"Klf6",6.52192168534638e-181,1.24517912415408,0.896,0.415,1.01155005339722e-176,"EE-EC","Klf6"
"Fsd1l",1.79337751914815e-180,0.75858421362128,0.618,0.131,2.78152853219879e-176,"EE-EC","Fsd1l"
"Camk2n1",5.16888467344169e-180,1.06230323173049,0.84,0.331,8.01694012850806e-176,"EE-EC","Camk2n1"
"Gpt",5.33950516284855e-180,0.447087443064472,0.365,0.03,8.28157250757809e-176,"EE-EC","Gpt"
"Selenop",1.89369588597687e-178,1.85380444638348,0.909,0.542,2.93712231915012e-174,"EE-EC","Selenop"
"1810043G02Rik",2.67930908345525e-178,0.490796277816851,0.402,0.042,4.15560838843909e-174,"EE-EC","1810043G02Rik"
"4930556N09Rik",9.67543803656669e-178,0.309344847702546,0.222,0.001,1.50066043947149e-173,"EE-EC","4930556N09Rik"
"Tecpr1",6.21598099383138e-177,0.780105662687781,0.624,0.138,9.64098652143246e-173,"EE-EC","Tecpr1"
"Crmp1",5.21588715251575e-176,0.332562771219405,0.245,0.005,8.08984097355192e-172,"EE-EC","Crmp1"
"Pcp4l1",1.89428043604919e-175,0.445123429512063,0.276,0.011,2.9380289563123e-171,"EE-EC","Pcp4l1"
"Ncald",3.82809183372527e-174,0.846363470058958,0.673,0.169,5.93737043410789e-170,"EE-EC","Ncald"
"Chka",7.36194670864453e-174,1.73969654609513,0.87,0.417,1.14183793451077e-169,"EE-EC","Chka"
"Dlg2",9.06166105362735e-174,0.319356257835101,0.229,0.003,1.4054636294176e-169,"EE-EC","Dlg2"
"Ecm1",1.64698662971238e-173,0.406101217279406,0.245,0.006,2.55447626268389e-169,"EE-EC","Ecm1"
"Retreg1",1.33794836725885e-170,0.745305618575308,0.588,0.127,2.07515791761848e-166,"EE-EC","Retreg1"
"Epb41l4b",1.77371464598147e-170,0.828439493763254,0.686,0.185,2.75103141591726e-166,"EE-EC","Epb41l4b"
"Apob",4.16075915792065e-170,0.926817232652633,0.708,0.201,6.45333745393492e-166,"EE-EC","Apob"
"2210407C18Rik",8.71224356780242e-169,0.688048119736115,0.522,0.09,1.35126897736616e-164,"EE-EC","2210407C18Rik"
"Tob1",2.4896414219769e-167,0.987528342614867,0.793,0.276,3.86143384548618e-163,"EE-EC","Tob1"
"Camk1d",3.73746903421332e-167,0.655309511296183,0.496,0.083,5.79681447206486e-163,"EE-EC","Camk1d"
"Rundc3a",2.90987893612718e-166,0.80819272199913,0.715,0.204,4.51322222993326e-162,"EE-EC","Rundc3a"
"Litaf",6.66843696080162e-166,0.708775270748058,0.533,0.103,1.03427457262033e-161,"EE-EC","Litaf"
"Atp6v1b2",1.1054694491778e-165,0.90010509790471,0.686,0.202,1.71458311567477e-161,"EE-EC","Atp6v1b2"
"Prag1",1.68823331539084e-165,0.410810306884447,0.324,0.025,2.6184498721712e-161,"EE-EC","Prag1"
"Scamp5",6.83454258526173e-165,0.505417551413575,0.425,0.055,1.06003755497409e-160,"EE-EC","Scamp5"
"Tbx3",7.75789045550567e-165,0.890532049057044,0.742,0.235,1.20324880964893e-160,"EE-EC","Tbx3"
"Resp18",4.14904075779733e-164,1.18958596499799,0.724,0.229,6.43516221534367e-160,"EE-EC","Resp18"
"Ptprs",8.55957095489281e-164,0.463648959898192,0.358,0.035,1.32758945510387e-159,"EE-EC","Ptprs"
"Pcsk1n",1.52121171903335e-162,1.56502930567611,0.794,0.307,2.35939937622072e-158,"EE-EC","Pcsk1n"
"Marcks",4.01378978121449e-162,1.07411680623226,0.804,0.317,6.22538795066368e-158,"EE-EC","Marcks"
"Dmpk",5.18764724563568e-162,0.395132519264179,0.314,0.023,8.04604087798094e-158,"EE-EC","Dmpk"
"Elovl7",5.45471309151668e-162,0.607905712477802,0.473,0.078,8.46026000494237e-158,"EE-EC","Elovl7"
"Atf3",8.56580021831539e-161,1.25127089413584,0.848,0.361,1.32855561386072e-156,"EE-EC","Atf3"
"Il18r1",4.32704510468723e-160,0.321679078881417,0.238,0.007,6.7112469573699e-156,"EE-EC","Il18r1"
"Adgrg4",7.18878519050186e-160,0.875463542848354,0.801,0.254,1.11498058304684e-155,"EE-EC","Adgrg4"
"Sdcbp",1.47313799947817e-159,0.892302645832492,0.802,0.301,2.28483703719065e-155,"EE-EC","Sdcbp"
"Cd63",3.67363085632047e-158,1.11076488568159,0.802,0.324,5.69780145815305e-154,"EE-EC","Cd63"
"Glis3",1.25141850819072e-157,0.361386599587069,0.279,0.016,1.9409501062038e-153,"EE-EC","Glis3"
"Mtss1",3.1374522956021e-157,0.830223507511389,0.757,0.249,4.86618851047886e-153,"EE-EC","Mtss1"
"Plk3",3.25362245068102e-157,0.61259632962947,0.41,0.055,5.04636842100626e-153,"EE-EC","Plk3"
"Pdk3",5.33972255942751e-157,0.544013497614964,0.404,0.052,8.28190968967207e-153,"EE-EC","Pdk3"
"Fblim1",8.33309396297464e-157,0.620442752633053,0.528,0.105,1.29246287365737e-152,"EE-EC","Fblim1"
"Sis",3.04093524373495e-156,1.34910394191737,0.882,0.445,4.71649056303291e-152,"EE-EC","Sis"
"Ncam2",3.0836054684728e-156,0.581217582188237,0.454,0.071,4.78267208160132e-152,"EE-EC","Ncam2"
"Reg4",6.51821762330579e-155,4.20279781658699,0.773,0.389,1.01097555337473e-150,"EE-EC","Reg4"
"Ptpru",1.47168282558862e-153,0.349813472744794,0.258,0.013,2.28258006248795e-149,"EE-EC","Ptpru"
"Trp53inp2",1.56928065320637e-153,0.709503514549069,0.63,0.16,2.43395429312308e-149,"EE-EC","Trp53inp2"
"Zfp622",4.27884518902656e-153,0.826895954526707,0.629,0.166,6.6364888881802e-149,"EE-EC","Zfp622"
"Anxa5",6.96099693593171e-153,0.855255201654155,0.58,0.139,1.07965062476301e-148,"EE-EC","Anxa5"
"Crip2",1.01699277039506e-152,0.362289493655178,0.25,0.011,1.57735578688274e-148,"EE-EC","Crip2"
"Glul",1.75897789356102e-152,0.876911387198702,0.618,0.163,2.72817471291314e-148,"EE-EC","Glul"
"Scg3",4.94791205794681e-152,1.03052546695402,0.737,0.249,7.67421160187551e-148,"EE-EC","Scg3"
"Atp8a1",8.2193217585034e-152,0.687035713581054,0.569,0.134,1.27481680474388e-147,"EE-EC","Atp8a1"
"F2",1.40733706779836e-151,0.370643829716093,0.287,0.02,2.18277979215526e-147,"EE-EC","F2"
"Nrp1",1.85111783430053e-151,0.626510844886665,0.498,0.093,2.87108376100013e-147,"EE-EC","Nrp1"
"Thrb",8.95137215150724e-150,0.410224588428273,0.285,0.02,1.38835782069877e-145,"EE-EC","Thrb"
"Upb1",8.34247068826067e-149,0.655701093018811,0.512,0.103,1.29391720374923e-144,"EE-EC","Upb1"
"Trpc4",1.41330692602552e-148,0.307866428101101,0.229,0.008,2.19203904226558e-144,"EE-EC","Trpc4"
"App",1.43050648840961e-148,0.927097157577355,0.78,0.319,2.2187155635233e-144,"EE-EC","App"
"Slc25a35",5.81438161174068e-148,0.426429500792814,0.316,0.029,9.0181058798098e-144,"EE-EC","Slc25a35"
"Id3",2.27814456358572e-147,1.0938595304093,0.921,0.571,3.53340221812146e-143,"EE-EC","Id3"
"Gla",5.65200439065139e-147,0.531961894788535,0.36,0.043,8.76625880990031e-143,"EE-EC","Gla"
"Galr1",7.11657117059964e-147,0.479226111266319,0.392,0.053,1.10378018856e-142,"EE-EC","Galr1"
"Amigo2",9.23808746261382e-147,0.634237972392998,0.4,0.057,1.4328273654514e-142,"EE-EC","Amigo2"
"Scn8a",4.19292623970444e-146,0.374983042570011,0.293,0.023,6.50322859778158e-142,"EE-EC","Scn8a"
"Id2",7.74457774824963e-146,1.10587011816434,0.922,0.537,1.20118400875352e-141,"EE-EC","Id2"
"Slc15a1",3.10521596776704e-145,0.592424973375166,0.48,0.09,4.81618996600668e-141,"EE-EC","Slc15a1"
"Foxn3",1.34024489093712e-142,0.652168876434581,0.532,0.12,2.07871982584347e-138,"EE-EC","Foxn3"
"Pip4k2a",7.51083746503497e-141,0.275758773690339,0.201,0.005,1.16493089082692e-136,"EE-EC","Pip4k2a"
"Fos",2.25782966112679e-140,1.04883498001177,0.99,0.714,3.50189380440765e-136,"EE-EC","Fos"
"Gspt1",3.00408921624615e-140,0.803772754483501,0.621,0.182,4.65934237439778e-136,"EE-EC","Gspt1"
"C1qtnf4",1.10683393247029e-137,0.603587453706352,0.438,0.079,1.71669942926142e-133,"EE-EC","C1qtnf4"
"Cyp2d26",1.64556541877615e-137,0.386891576543498,0.323,0.034,2.5522719645218e-133,"EE-EC","Cyp2d26"
"Aqp9",2.40354696168827e-137,0.271940682007907,0.18,0.002,3.72790133757851e-133,"EE-EC","Aqp9"
"Id1",2.61302688208552e-137,1.10981912915604,0.937,0.656,4.05280469411464e-133,"EE-EC","Id1"
"Atf2",4.27381309190003e-137,0.690514632398796,0.515,0.117,6.62868410553695e-133,"EE-EC","Atf2"
"Asns",1.20100616331788e-136,0.474626057904645,0.376,0.053,1.86276055930603e-132,"EE-EC","Asns"
"Hepacam2",4.30481772955629e-136,0.964973507196912,0.911,0.576,6.6767722985418e-132,"EE-EC","Hepacam2"
"Scg5",7.47867844424691e-136,0.928097453449192,0.716,0.245,1.1599430267027e-131,"EE-EC","Scg5"
"Npy1r",8.53706390143188e-136,0.312560771641548,0.225,0.011,1.32409861111209e-131,"EE-EC","Npy1r"
"Arfgef1",3.88355735974145e-135,0.759912925967848,0.707,0.244,6.02339746495899e-131,"EE-EC","Arfgef1"
"Ssbp2",4.33551234161795e-135,0.342215279876089,0.209,0.008,6.72437964184944e-131,"EE-EC","Ssbp2"
"Trib1",4.96327007989699e-135,0.846912931685181,0.679,0.214,7.69803189392023e-131,"EE-EC","Trib1"
"Cfb",8.51055333026794e-135,0.615538552559273,0.549,0.135,1.31998682152456e-130,"EE-EC","Cfb"
"Syt5",2.4411383650347e-134,0.417919556152331,0.339,0.041,3.78620560416882e-130,"EE-EC","Syt5"
"Tspan1",1.20996097713375e-133,0.80294355290136,0.726,0.242,1.87664947553444e-129,"EE-EC","Tspan1"
"Wnt3",1.42412798583155e-133,0.400433175189241,0.316,0.035,2.20882250602474e-129,"EE-EC","Wnt3"
"Cox7a1",1.62572325948565e-133,0.650993878101184,0.405,0.067,2.52149677546225e-129,"EE-EC","Cox7a1"
"Olfm1",2.81209860949326e-133,0.540072126820871,0.433,0.076,4.36156494332405e-129,"EE-EC","Olfm1"
"Lap3",1.02789427469539e-131,0.895435081833783,0.686,0.25,1.59426402005254e-127,"EE-EC","Lap3"
"Dach2",2.05748377497732e-131,0.258361386216087,0.18,0.003,3.19115733498983e-127,"EE-EC","Dach2"
"Bzw2",4.11590435348044e-131,0.659287614566047,0.536,0.132,6.38376765224817e-127,"EE-EC","Bzw2"
"Asap1",5.98945244215978e-130,0.408801950425108,0.334,0.042,9.28964073778982e-126,"EE-EC","Asap1"
"Phgr1",9.42438832232982e-130,1.24088728574767,0.836,0.446,1.46172262879336e-125,"EE-EC","Phgr1"
"Serpini1",3.93382423522331e-129,0.357827504356839,0.269,0.023,6.10136138883135e-125,"EE-EC","Serpini1"
"Lmo4",5.70580524474687e-129,0.461322422472822,0.381,0.059,8.84970393460239e-125,"EE-EC","Lmo4"
"Egr1",1.09524548567132e-127,0.984982286302144,0.953,0.633,1.69872574827622e-123,"EE-EC","Egr1"
"Smad6",2.05394516726308e-126,0.344240939752265,0.279,0.027,3.18566895442504e-122,"EE-EC","Smad6"
"Rnase4",2.52706500798127e-126,0.793971765164581,0.626,0.197,3.91947782737896e-122,"EE-EC","Rnase4"
"Cdh17",1.49208723852882e-125,0.911256388210956,0.814,0.381,2.3142273069582e-121,"EE-EC","Cdh17"
"Cyp2c65",3.05829309706003e-125,0.473747260551152,0.397,0.067,4.74341259354011e-121,"EE-EC","Cyp2c65"
"Fgf14",3.47204788487031e-125,0.269561953249027,0.203,0.009,5.38514626943385e-121,"EE-EC","Fgf14"
"Tmem238l",5.3694496999846e-125,0.375721892471595,0.303,0.035,8.32801648467612e-121,"EE-EC","Tmem238l"
"Fosb",9.02661303851089e-125,0.997562627811603,0.95,0.627,1.40002768227304e-120,"EE-EC","Fosb"
"Syt13",1.05066596084399e-124,0.531595570511326,0.475,0.102,1.62958290526903e-120,"EE-EC","Syt13"
"Cyp2f2",2.21273734925141e-124,0.25017860017874,0.177,0.004,3.43195562868893e-120,"EE-EC","Cyp2f2"
"Bok",2.92452340175589e-124,0.324305534438975,0.264,0.023,4.53593579612339e-120,"EE-EC","Bok"
"Abcc2",4.98004363128524e-124,0.358993386610262,0.282,0.028,7.72404767212341e-120,"EE-EC","Abcc2"
"Tbx3os2",5.11306121192067e-123,0.288463879542727,0.222,0.013,7.93035793968896e-119,"EE-EC","Tbx3os2"
"Tnnc1",9.50227676725486e-123,0.37098754892112,0.251,0.021,1.47380312660123e-118,"EE-EC","Tnnc1"
"Hid1",1.75878770094288e-122,0.396777458000482,0.352,0.052,2.72787972416241e-118,"EE-EC","Hid1"
"H3f3b",9.72420268697994e-122,0.794679811154436,0.987,0.928,1.50822383675059e-117,"EE-EC","H3f3b"
"Tmcc3",9.79872950483856e-122,0.525796094655606,0.405,0.075,1.51978294620046e-117,"EE-EC","Tmcc3"
"Ddx5",2.2769009768209e-121,0.846194201084291,0.994,0.874,3.53147341504922e-117,"EE-EC","Ddx5"
"Ap3b2",2.65734053283649e-121,0.435444279065109,0.379,0.063,4.1215351664294e-117,"EE-EC","Ap3b2"
"Fus",3.06591443562593e-121,0.917022873408893,0.823,0.392,4.75523328965581e-117,"EE-EC","Fus"
