,names,scores,logfoldchanges,pvals,pvals_adj
93,Prdx6,39.742046,1.5628256,4.591850901566562e-255,6.072974196020769e-253
94,Jaml,39.73282,2.558848,5.438392266314741e-218,5.079290179039009e-216
95,Lypd8,39.69343,2.1633158,6.1298822719571884e-273,9.828967865981619e-271
96,Cks2,39.661415,2.3727067,1.4120393562601957e-222,1.3536900050835178e-220
97,Eef1g,39.653652,1.1511459,4.258944097158911e-268,6.652397249691578e-266
98,Srsf7,39.5366,1.5194558,1.2377140070639762e-249,1.515279736080553e-247
99,Rpl22l1,39.41944,1.1255821,1.5247503652239376e-265,2.3412671074146208e-263
100,Rps12,39.399693,1.0376277,6.286164931841255e-253,8.077944851066079e-251
101,Hnrnpa1,39.346333,1.4062608,5.098582524290691e-264,7.634811302282896e-262
102,Rps9,39.288673,1.0669367,1.7724597968729858e-257,2.4146766210181675e-255
103,Tyms,39.26843,2.3568006,3.3463393194430706e-214,3.016533439253184e-212
104,Eef1d,39.170956,1.2046398,6.241520175368704e-257,8.377044745000411e-255
105,Dek,39.068558,1.9713651,1.7468031072911213e-223,1.701630403279991e-221
106,Ddx39,39.068424,1.7379061,1.5786875208929085e-235,1.70263328518206e-233
107,Rpl28,38.98241,0.88912773,5.151441563214913e-259,7.235579045262868e-257
108,Rpl22,38.981796,1.186696,9.882942786333396e-252,1.252231051367656e-249
109,Rps27a,38.85899,0.8963773,1.8685163069466985e-258,2.5648217398156994e-256
110,Rpl23a,38.829075,1.2680136,7.112941892024094e-255,9.271898859106803e-253
111,Dtymk,38.715855,1.8028923,3.1103753736199945e-226,3.1484296868503177e-224
112,Rps15a,38.475674,1.0396924,1.454907056256281e-249,1.7692255672689632e-247
113,Phgdh,38.293747,1.9868637,2.0777345593250541e-224,2.0349444584005758e-222
114,Snrpe,38.290924,1.3190039,2.4860367245968287e-243,2.8152812133106214e-241
115,Ube2c,38.134842,2.9327784,3.6331231082301608e-205,2.9652503422532563e-203
116,S100a10,38.089924,1.7026708,2.3933613008441296e-259,3.387915110155842e-257
117,Ybx1,37.967323,1.1377676,2.319461124211763e-246,2.6598934246577805e-244
118,Lsm4,37.754314,1.2969112,7.277542709738431e-240,8.040353436448209e-238
119,Apex1,37.74908,1.7904344,8.456873109900349e-215,7.700004214989166e-213
120,Rpl37,37.362408,0.9255879,3.444956176837387e-241,3.8769665197587965e-239
121,Rpl23,37.253582,0.9179468,2.497137369447052e-237,2.7421595149703718e-235
122,Smc2,37.10045,2.446277,1.3478745964157336e-195,9.847637021151887e-194
123,Nop56,37.019,1.8165517,4.683895192307467e-208,3.9109445617243776e-206
124,Rpl7a,36.992012,0.9762424,2.0666949257227918e-235,2.215765997584099e-233
125,Epcam,36.844997,1.0496671,1.3857533087219536e-232,1.468331239808952e-230
126,Dnajc2,36.841034,1.6265992,6.044096902403324e-214,5.421435236368605e-212
127,Rnaseh2c,36.817734,1.6380427,2.2398547018979054e-215,2.060097834704982e-213
