,names,scores,logfoldchanges,pvals,pvals_adj
8854,Kcnk7,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8855,Klk1b4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8856,Prtn3,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8857,Xlr4a,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8858,Pdf,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8859,Gm48321,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8860,Gm28836,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8861,Mageb16,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8862,Gm14827,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8863,Fgf22,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8864,Slc38a8,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8865,Gm38389,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8866,Pcna-ps2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8867,Gzmm,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8868,Pdgfc,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8869,Gm7598,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8870,Itm2a,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8871,Gm19541,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8872,Gm44752,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8873,Gm38336,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8874,B430305J03Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8875,S1pr4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8876,Gm11521,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8877,Mab21l1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8878,Gfra4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8879,Prdm6,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8880,Gm44787,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8881,Il34,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8882,Sorcs3,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8883,Afap1l2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8884,Gm16104,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8885,Hsd3b2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8886,Cpne4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
