,names,scores,logfoldchanges,pvals,pvals_adj
9262,Tbc1d20,-1.3668013,-0.45990428,0.17333533734805168,0.22821516874060793
9263,Neo1,-1.3670254,-0.41781026,0.17327718308454734,0.22815640328899317
9264,Dennd4c,-1.3678776,-0.4053084,0.17299986531401115,0.22780903060272634
9265,Tnnt1,-1.3678983,-0.6587149,0.17297525401184494,0.22779439764709564
9266,Pnmal1,-1.368412,-0.7890898,0.17284229443764887,0.22767260312507412
9267,Brox,-1.3684634,-0.49256733,0.1728118700642988,0.2276680698989025
9268,Vezf1,-1.3691964,-0.35417843,0.17259703140669566,0.22742054384227292
9269,Gm4419,-1.3706828,-0.8683377,0.17207013731542453,0.2267616998983045
9270,Pcsk2os2,-1.3730851,-1.0132495,0.17128925014628704,0.22582078876707765
9271,Fam118a,-1.3732626,-1.2907058,0.1712070406463904,0.22574768017720254
9272,Cnppd1,-1.37414,-0.4275497,0.17106126526686258,0.22557309145724044
9273,Trac,-1.3753697,-19.410912,0.16909117296352305,0.22314956938761643
9274,Sh3pxd2a,-1.3771617,-1.300644,0.16994778837158142,0.22416281755083953
9275,Them6,-1.3777387,-1.294767,0.16981330914384105,0.22401497747047514
9276,Map4,-1.3786124,-0.4292792,0.1696705658272677,0.22384417155305622
9277,Xpnpep3,-1.3788646,-0.87301546,0.1695293596159992,0.22369285663617064
9278,Gm42596,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9279,Gm26789,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9280,Gm31282,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9281,Gm13496,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9282,Taar1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9283,Chl1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9284,Rasl12,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9285,Rdh9,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9286,F630042J09Rik,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9287,Gm26604,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9288,9330161L09Rik,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9289,Bmp8a,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9290,Gm35065,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9291,Gm8113,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9292,Gm26525,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9293,Tbr1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9294,Ccdc154,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9295,Ctcfl,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9296,Mogat1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9297,Rab33a,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9298,Marc1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9299,AC087556.1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9300,Grap,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9301,Col4a1,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9302,Gm48809,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9303,Car5b,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9304,AC087898.2,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
